score_diff,minutes_remaining,home_won
-1,0.0,1
-1,0.0,1
1,0.0,1
1,0.0,1
1,0.0,1
0,48.0,1
0,47.4,1
2,46.95,1
2,46.333333333333336,1
0,45.95,1
0,45.93333333333334,1
1,45.93333333333334,1
2,45.65,1
2,45.416666666666664,1
2,44.95,1
2,44.81666666666666,1
2,44.56666666666666,1
1,44.15,1
2,44.15,1
0,43.56666666666666,1
-2,43.35,1
0,42.833333333333336,1
0,42.483333333333334,1
3,41.96666666666667,1
3,41.81666666666666,1
3,41.81666666666666,1
4,41.81666666666666,1
7,41.35,1
10,40.81666666666666,1
10,40.81666666666666,1
10,40.43333333333334,1
10,40.166666666666664,1
11,39.53333333333333,1
11,39.46666666666667,1
13,39.35,1
13,39.35,1
13,39.35,1
13,39.06666666666666,1
15,38.88333333333333,1
15,38.81666666666666,1
15,38.516666666666666,1
15,38.233333333333334,1
13,38.1,1
13,38.05,1
14,38.0,1
15,38.0,1
17,37.45,1
14,36.971666666666664,1
14,36.73166666666667,1
16,36.44833333333334,1
16,36.02333333333333,1
16,36.0,1
16,36.0,1
16,36.0,1
16,35.416666666666664,1
19,35.03333333333333,1
19,34.68333333333334,1
19,34.43333333333334,1
17,34.083333333333336,1
17,33.86666666666667,1
17,33.6,1
15,33.5,1
15,33.266666666666666,1
15,33.15,1
15,32.86666666666667,1
17,32.38333333333333,1
17,32.11666666666667,1
17,32.11666666666667,1
19,31.766666666666666,1
18,31.616666666666667,1
18,31.566666666666666,1
16,31.05,1
16,30.7,1
16,30.566666666666666,1
19,30.35,1
19,30.35,1
18,29.916666666666668,1
20,29.516666666666666,1
23,29.266666666666666,1
22,29.116666666666667,1
22,29.116666666666667,1
21,28.983333333333334,1
21,28.7,1
21,28.166666666666668,1
18,27.85,1
18,27.85,1
19,27.683333333333334,1
18,27.28333333333333,1
18,26.933333333333334,1
16,26.78333333333333,1
16,26.516666666666666,1
16,26.21666666666667,1
15,25.866666666666667,1
16,25.816666666666666,1
17,25.816666666666666,1
17,25.483333333333334,1
16,25.483333333333334,1
15,25.266666666666666,1
15,25.21666666666667,1
15,24.945,1
15,24.736666666666665,1
15,24.263333333333335,1
15,24.006666666666668,1
15,24.0,1
15,24.0,1
15,24.0,1
15,24.0,1
13,23.466666666666665,1
11,23.133333333333333,1
11,22.6,1
11,21.933333333333334,1
14,21.616666666666667,1
17,21.28333333333333,1
17,21.183333333333334,1
17,21.183333333333334,1
17,20.916666666666668,1
17,20.833333333333332,1
17,20.566666666666666,1
17,20.5,1
19,19.933333333333334,1
19,19.883333333333333,1
22,19.883333333333333,1
22,19.883333333333333,1
22,19.65,1
22,19.433333333333334,1
20,19.233333333333334,1
19,19.2,1
18,19.2,1
18,18.916666666666668,1
18,18.733333333333334,1
18,18.45,1
16,18.016666666666666,1
16,17.916666666666668,1
16,17.916666666666668,1
16,17.916666666666668,1
15,17.666666666666668,1
17,17.45,1
17,17.133333333333333,1
15,16.566666666666666,1
15,16.28333333333333,1
17,16.25,1
17,16.25,1
15,15.766666666666666,1
13,15.700000000000003,1
13,15.5,1
14,15.466666666666669,1
14,14.783333333333331,1
14,14.583333333333336,1
17,14.133333333333333,1
17,13.833333333333336,1
20,13.399999999999999,1
20,13.399999999999999,1
18,12.935000000000002,1
16,12.825000000000003,1
16,12.618333333333332,1
15,12.450000000000003,1
16,12.088333333333331,1
16,12.005000000000003,1
15,12.0,1
15,12.0,1
15,12.0,1
13,11.633333333333333,1
13,11.116666666666667,1
13,11.016666666666666,1
12,10.950000000000003,1
12,10.950000000000003,1
11,10.516666666666666,1
11,10.350000000000001,1
11,10.350000000000001,1
11,10.350000000000001,1
12,10.216666666666669,1
9,9.633333333333333,1
11,9.25,1
11,9.25,1
11,9.016666666666666,1
11,9.016666666666666,1
10,9.016666666666666,1
10,9.016666666666666,1
9,8.716666666666669,1
9,8.583333333333336,1
9,8.566666666666663,1
9,8.566666666666663,1
7,7.866666666666667,1
7,7.683333333333337,1
7,7.566666666666663,1
7,7.566666666666663,1
7,7.549999999999997,1
7,7.316666666666663,1
7,7.316666666666663,1
7,7.316666666666663,1
8,6.983333333333334,1
8,6.399999999999999,1
8,6.183333333333337,1
8,5.700000000000003,1
6,5.399999999999999,1
8,5.133333333333333,1
8,5.133333333333333,1
8,5.133333333333333,1
8,5.133333333333333,1
5,4.549999999999997,1
7,4.233333333333334,1
5,3.6499999999999986,1
5,3.3500000000000014,1
3,2.9833333333333343,1
2,2.633333333333333,1
0,1.7833333333333314,1
2,1.5166666666666657,1
2,1.5166666666666657,1
2,0.8800000000000026,1
2,0.5733333333333377,1
3,0.5399999999999991,1
1,0.23000000000000398,1
2,0.23000000000000398,1
3,0.23000000000000398,1
3,0.0799999999999983,1
3,0.05166666666666231,1
3,0.05166666666666231,1
4,0.005000000000002558,1
4,0.0,1
0,48.0,1
-3,47.416666666666664,1
-5,47.03333333333333,1
-3,46.63333333333333,1
-1,46.333333333333336,1
-1,46.03333333333333,1
-1,45.96666666666667,1
-1,45.63333333333333,1
-1,45.38333333333333,1
-1,45.083333333333336,1
-1,45.05,1
-1,44.75,1
-3,44.38333333333333,1
-3,44.13333333333333,1
-3,43.96666666666667,1
-3,43.7,1
-3,43.63333333333333,1
-5,43.25,1
-5,42.983333333333334,1
-5,42.75,1
-4,42.18333333333334,1
-4,41.75,1
-4,41.63333333333333,1
-1,41.53333333333333,1
-1,41.53333333333333,1
-1,41.53333333333333,1
-1,41.53333333333333,1
-1,41.53333333333333,1
-1,41.46666666666667,1
-1,41.06666666666666,1
-1,40.93333333333334,1
-1,40.53333333333333,1
-3,40.03333333333333,1
-5,39.583333333333336,1
-5,39.43333333333334,1
-4,39.43333333333334,1
-3,39.03333333333333,1
-3,38.63333333333333,1
-5,38.43333333333334,1
-5,38.11666666666667,1
-2,38.0,1
-2,38.0,1
-6,36.82,1
-5,36.483333333333334,1
-8,36.016666666666666,1
-8,36.0,1
-8,36.0,1
-8,36.0,1
-6,35.25,1
-6,35.25,1
-3,34.68333333333334,1
-3,34.5,1
0,34.233333333333334,1
0,33.88333333333333,1
3,33.4,1
3,33.38333333333333,1
3,32.9,1
3,32.63333333333333,1
0,32.483333333333334,1
0,31.933333333333334,1
-3,31.483333333333334,1
-1,31.3,1
-1,31.05,1
-1,30.983333333333334,1
-1,30.983333333333334,1
1,30.28333333333333,1
1,30.15,1
1,30.03333333333333,1
4,29.85,1
4,29.666666666666668,1
4,29.666666666666668,1
4,29.183333333333334,1
6,28.933333333333334,1
6,28.9,1
8,28.9,1
11,28.516666666666666,1
11,28.5,1
13,27.816666666666666,1
14,27.6,1
13,27.483333333333334,1
13,27.483333333333334,1
12,27.483333333333334,1
11,27.2,1
13,27.1,1
10,26.45,1
9,26.166666666666664,1
10,25.95,1
10,25.816666666666666,1
11,25.75,1
12,25.45,1
14,25.166666666666664,1
17,25.066666666666666,1
17,24.503333333333334,1
20,24.113333333333333,1
20,24.113333333333333,1
20,24.113333333333333,1
20,24.0,1
20,24.0,1
20,24.0,1
20,24.0,1
20,23.6,1
20,23.583333333333332,1
17,22.866666666666667,1
15,22.266666666666666,1
15,22.033333333333335,1
12,21.55,1
15,20.9,1
16,20.35,1
19,19.983333333333334,1
17,19.316666666666666,1
20,19.083333333333332,1
20,18.46666666666667,1
22,18.333333333333332,1
24,17.683333333333334,1
24,17.516666666666666,1
24,17.266666666666666,1
22,17.05,1
22,16.65,1
22,16.65,1
21,16.333333333333332,1
21,16.0,1
21,16.0,1
21,15.866666666666667,1
21,15.866666666666667,1
19,14.75,1
19,14.616666666666667,1
19,14.483333333333334,1
19,14.483333333333334,1
19,14.299999999999997,1
19,14.233333333333334,1
17,13.700000000000003,1
17,13.566666666666663,1
17,12.943333333333335,1
17,12.865000000000002,1
